Rank,Link,Title,Score,Description,Year Premiered,Episodes,Popularity,Genre,Status,Source,Rating,Aired,neg,neu,pos,compound
11.0,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,Bleach: Sennen Kessen-hen,9.01,"Substitute Soul Reaper Ichigo Kurosaki spends his days fighting against Hollows, dangerous evil spirits that threaten Karakura Town. Ichigo carries out his quest with his closest allies: Orihime Inoue, his childhood friend with a talent for healing; Yasutora Sado, his high school classmate with superhuman strength; and Uryuu Ishida, Ichigo's Quincy rival.Ichigo's vigilante routine is disrupted by the sudden appearance of Asguiaro Ebern, a dangerous Arrancar who heralds the return of Yhwach, an ancient Quincy king. Yhwach seeks to reignite the historic blood feud between Soul Reaper and Quincy, and he sets his sights on erasing both the human world and the Soul Society for good.Yhwach launches a two-pronged invasion into both the Soul Society and Hueco Mundo, the home of Hollows and Arrancar. In retaliation, Ichigo and his friends must fight alongside old allies and enemies alike to end Yhwach's campaign of carnage before the world itself comes to an end.[Written by MAL Rewrite]",2022.0,13,396,"Action, Adventure, Fantasy",Finished Airing,Manga,R - 17+ (violence & profanity),"Oct 11, 2022 to Dec 27, 2022",0.136,0.795,0.07,-0.891
12.0,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.0,"The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.[Written by MAL Rewrite]",2022.0,13,172,"Comedy, Romance",Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 9, 2022 to Jun 25, 2022",0.124,0.675,0.201,0.9313
13.0,https://myanimelist.net/anime/34096/Gintama,Gintama.,8.98,"After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.[Written by MAL Rewrite]",2017.0,12,769,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jan 9, 2017 to Mar 27, 2017",0.095,0.878,0.028,-0.872
14.0,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,Fruits Basket: The Final,8.97,"Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.[Written by MAL Rewrite]",2021.0,13,467,"Drama, Romance, Supernatural",Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 6, 2021 to Jun 29, 2021",0.113,0.713,0.174,0.8779
15.0,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,Monogatari Series: Off & Monster Season,8.96,"After graduating from high school, the story of Koyomi Araragi came to an end. This time, it truly ended. However, the story of the girls who were saved by Araragi was not over. It is a prequel, or perhaps a sequel to their struggles in youth.(Source: MAL News)",,0,3012,"Comedy, Mystery, Supernatural",Currently Airing,Light novel,R - 17+ (violence & profanity),"Jul 6, 2024 to ?",0.049,0.84,0.111,0.4939
16.0,https://myanimelist.net/anime/28851/Koe_no_Katachi,Koe no Katachi,8.93,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.Koe no Katachitells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.[Written by MAL Rewrite]",,1,20,"Award Winning, Drama",Finished Airing,Manga,PG-13 - Teens 13 or older,"Sep 17, 2016",0.147,0.769,0.084,-0.886
17.0,https://myanimelist.net/anime/4181/Clannad__After_Story,Clannad: After Story,8.93,"Tomoya Okazaki and Nagisa Furukawa have graduated from high school, and together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.[Written by MAL Rewrite]",2008.0,24,119,"Drama, Romance, Supernatural",Finished Airing,Visual novel,PG-13 - Teens 13 or older,"Oct 3, 2008 to Mar 27, 2009",0.057,0.779,0.164,0.8979
18.0,https://myanimelist.net/anime/918/Gintama,Gintama,8.93,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public.Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways.Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.[Written by MAL Rewrite]",2006.0,201,143,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 4, 2006 to Mar 25, 2010",0.035,0.862,0.103,0.9104
19.0,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,3-gatsu no Lion 2nd Season,8.92,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return.Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.[Written by MAL Rewrite]",2017.0,22,575,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Oct 14, 2017 to Mar 31, 2018",0.057,0.837,0.106,0.8071
20.0,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,Code Geass: Hangyaku no Lelouch R2,8.91,"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt.Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.[Written by MAL Rewrite]",2008.0,25,47,"Action, Award Winning, Drama, Sci-Fi",Finished Airing,Original,R - 17+ (violence & profanity),"Apr 6, 2008 to Sep 28, 2008",0.144,0.726,0.13,-0.0708
21.0,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.[Written by MAL Rewrite]",,1,1011,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 6, 2013",0.105,0.827,0.068,-0.5586
22.0,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,Kusuriya no Hitorigoto,8.89,"Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the limelight, attempts to leave an anonymous tip. Unfortunately, the dashing and perceptive eunuch Jinshi sees through it and manages to single her out.In recognition of her talent, Maomao is promoted to lady-in-waiting for the emperor's favorite concubine, Gyokuyou. As Maomao continues to remedy the numerous ailments afflicting the imperial court, her pharmaceutical expertise quickly proves indispensable.[Written by MAL Rewrite]",2023.0,24,514,"Drama, Mystery",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Oct 22, 2023 to Mar 24, 2024",0.114,0.769,0.117,0.3612
23.0,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.89,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process.As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people.The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom.[Written by MAL Rewrite]",,2,309,"Action, Drama, Suspense",Finished Airing,Manga,R - 17+ (violence & profanity),"Mar 4, 2023 to Nov 5, 2023",0.12,0.747,0.134,0.3818
24.0,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,"Following the temporary retreat of the Altana Liberation Army from the Kabuki District, the state of the war has seemingly improved. However, as the Oniwaban, Shinsengumi, and residents of the district combat the army's remnants, Edo's greatest inventor Gengai Hiraga is abducted. Responsible for causing the enemy's withdrawal by rendering their weapons useless, Gengai's nanomachine virus is now at risk of being shut down.Meanwhile, a laser capable of obliterating a planet is activated in Earth's orbit on the Liberation Army's mother ship. Another battle ensues when Shinsuke Takasugi and the rest of the Kiheitai arrive on the vessel to stop the weapon from firing. Forced to fight a war on two fronts, the Yorozuya and their allies must prevail on both sides to save Edo and the rest of the world.[Written by MAL Rewrite]",2018.0,14,1214,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 9, 2018 to Oct 8, 2018",0.219,0.67,0.111,-0.9517
25.0,https://myanimelist.net/anime/19/Monster,Monster,8.88,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.[Written by MAL Rewrite]",2004.0,74,126,"Drama, Mystery, Suspense",Finished Airing,Manga,R+ - Mild Nudity,"Apr 7, 2004 to Sep 28, 2005",0.162,0.806,0.033,-0.9902
26.0,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Owarimonogatari 2nd Season,8.87,"Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.[Written by MAL Rewrite]",,7,580,"Comedy, Mystery, Supernatural",Finished Airing,Light novel,R - 17+ (violence & profanity),"Aug 12, 2017 to Aug 13, 2017",0.045,0.867,0.088,0.6369
27.0,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Violet Evergarden Movie,8.86,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.Violet Evergarden Moviefollows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.[Written by MAL Rewrite]",,1,349,"Award Winning, Drama, Fantasy",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Sep 18, 2020",0.039,0.786,0.176,0.9648
28.0,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Kimi no Na wa.,8.83,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.Kimi no Na wa.revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.[Written by MAL Rewrite]",,1,11,"Award Winning, Drama, Supernatural",Finished Airing,Original,PG-13 - Teens 13 or older,"Aug 26, 2016",0.03,0.921,0.05,0.4389
29.0,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Kingdom 3rd Season,8.82,"Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map.[Written by MAL Rewrite]",2020.0,26,2036,,Finished Airing,Manga,R - 17+ (violence & profanity),"Apr 6, 2020 to Oct 17, 2021",0.037,0.889,0.073,0.534
